"id","grupo","nombre_es","nombre_en","keyword_es","keyword_en","intencion","volumen_o_senal_demanda","evidencia_demanda","competencia_seo","competidores_con_landing_especifica","calidad_media_landings","valor_comercial_potencial","relacion_solicitudes_reales","relacion_capacidad_ibercarga","riesgo_canibalizacion","potencial_internacional","facilidad_produccion","puntuacion_0_100","prioridad","recomendacion","estado_actual","tipo_evidencia","fuentes"
"1","Pilar","Transporte especial","Special transport","transporte especial","special transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Competida","≥5 en la muestra revisada","Media-alta en muestra","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","88","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"2","Pilar","Transporte sobredimensionado","Oversized load transport","transporte sobredimensionado","oversized load transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Competida","≥5 en la muestra revisada","Media-alta en muestra","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","86","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"3","Pilar","Transporte pesado","Heavy haul transport","transporte pesado","heavy haul transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Alto","Sí; inferencia basada en terminología y oferta europea","Media","58","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"4","Pilar","Transporte industrial","Industrial transport","transporte industrial","industrial transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Competida","≥5 en la muestra revisada","Media-alta en muestra","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","80","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"5","Pilar","Transporte especial internacional","International special transport","transporte especial internacional","international special transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","71","P2","Desarrollar tras validar capacidad y evitar solapamiento semántico","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"6","Pilar","Project cargo","Project cargo logistics","project cargo España","project cargo logistics Europe","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","74","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"7","Pilar","Logística de proyectos","Project logistics","logística de proyectos industriales","project logistics","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Alto","Sí; inferencia basada en terminología y oferta europea","Media","69","P2","Desarrollar tras validar capacidad y evitar solapamiento semántico","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"8","Pilar","Transporte de cargas indivisibles","Indivisible load transport","transporte cargas indivisibles","indivisible load transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Alto","Sí; inferencia basada en terminología y oferta europea","Media","53","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"9","Pilar","Transporte fuera de gálibo","Out-of-gauge transport","transporte fuera de gálibo","out of gauge transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Alto","Sí; inferencia basada en terminología y oferta europea","Media","52","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"10","Pilar","Transporte especial urgente","Urgent special transport","transporte especial urgente","urgent special transport","Comercial / transaccional B2B","Señal cualitativa media; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","60","P2","Desarrollar tras validar capacidad y evitar solapamiento semántico","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe | https://road-safety.transport.ec.europa.eu/eu-road-safety-policy/priorities/safe-vehicles/cargo-securing-and-abnormal-loads_en"
"11","Carga","Transporte de transformadores","Transformer transport","transporte de transformadores","transformer transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","83","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"12","Carga","Transporte de maquinaria pesada","Heavy machinery transport","transporte maquinaria pesada","heavy machinery transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Competida","≥5 en la muestra revisada","Media-alta en muestra","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","84","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"13","Carga","Transporte de maquinaria industrial","Industrial machinery transport","transporte maquinaria industrial","industrial machinery transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","53","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"14","Carga","Transporte de estructuras metálicas","Steel structure transport","transporte estructuras metálicas","steel structure transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","70","P2","Desarrollar tras validar capacidad y evitar solapamiento semántico","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"15","Carga","Transporte de módulos industriales","Industrial module transport","transporte módulos industriales","industrial module transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","51","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"16","Carga","Transporte de depósitos industriales","Industrial tank transport","transporte depósitos industriales","industrial tank transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","50","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"17","Carga","Transporte de reactores industriales","Industrial reactor transport","transporte reactores industriales","industrial reactor transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","49","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"18","Carga","Transporte de intercambiadores de calor","Heat exchanger transport","transporte intercambiadores calor","heat exchanger transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","48","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
