"dominio","pais","alcance","servicios_principales","landings_especificas_observadas","navegacion","titulo_seo","h1","enfoque_comercial","profundidad_tecnica","cargas","sectores","idiomas","cta","formulario","faq","schema","contenido_transaccional","contenido_informativo","paginas_geograficas","carencias_observadas","fuente","tipo_evidencia","fecha_revision"
"gruposgt.com","España","España","Transportes especiales y cargas especiales","/servicios/especiales","Servicios por categoría","Transporte de Cargas Especiales en España | Grupo SGT","Transporte de Cargas Especiales","Presentación de servicio","Media","Cargas especiales","Industria","ES","Contacto","No observado","No observada","Organization, WebSite, WebPage","Sí","Sí","No observadas","Menor profundidad por carga que operadores europeos","https://www.gruposgt.com/servicios/especiales","Dato comprobado en página","2026-08-31"
"transportespastor.es","España","España / Europa","Transporte especial y logística desde Barcelona","Landing principal y servicios","Navegación por servicios","PASTOR · Transportes Especiales desde el Puerto de Barcelona","Conocemos la ruta.","Orientación comercial y portuaria","Media","Carga especial","Puerto, industria","ES","Solicitud de información","Sí","Texto FAQ observado","Sin dato verificado","Sí","Sí","Barcelona / puerto","H1 poco descriptivo para intención genérica","https://transportespastor.es/","Dato comprobado en página","2026-08-31"
"tracaparagon.es","España","España / internacional","Transporte especial, góndolas, permisos","Varias páginas de servicio","Servicios y cobertura","Sin dato verificado","Sin dato verificado","Servicio integral","Media-alta","Maquinaria y cargas especiales","Construcción, industria","ES, EN, FR","Presupuesto","Sin dato verificado","Sí","Sin dato verificado","Sí","Sí","Ciudades/zonas observadas","Riesgo de páginas geográficas repetitivas","https://www.tracaparagon.es/","SERP y página revisada parcialmente","2026-08-31"
"transvolando.com","España","España","Transportes especiales","Landing específica","Servicios","Transportes especiales","Transportes especiales","Captación de presupuesto","Media","Maquinaria y cargas especiales","Construcción, industria","ES","Solicitar presupuesto","Sin dato verificado","Sí","Sin dato verificado","Sí","Sí","Cobertura territorial","Afirmaciones comerciales difíciles de comparar","https://transvolando.com/transportes-especiales/","Página revisada","2026-08-31"
"soltransportes.com","España","España","Transportes especiales","Landing específica","Servicios","Transportes especiales en España | SOLTRANS","Múltiples H1 observados","Comercial","Media","Carga especial","Industria","ES","Contacto","No observado","Sí","Breadcrumb, Organization, WebSite, WebPage","Sí","Sí","España","Jerarquía H1 mejorable","https://www.soltransportes.com/transportes-especiales-en-espana-soltrans/","Dato comprobado en página","2026-08-31"
"sevium.es","España","España","Transporte especial","Landing específica","Servicios","Transporte especial","Transporte especial","Comercial","Media","Cargas especiales","Industria","ES","Contacto","No observado","Sí","Breadcrumb, Organization, WebSite, WebPage","Sí","Sí","No observadas","Poca diferenciación por carga","https://sevium.es/transporte-especial/","Dato comprobado en página","2026-08-31"
"movipack.es","España","España","Cargas especiales","Landing específica","Servicios","Transporte de cargas especiales","Transporte de cargas especiales","Comercial","Baja-media","Cargas especiales","Industria","ES","Contacto","No observado","No observada","Breadcrumb, Organization, WebSite, WebPage","Sí","Sí","No observadas","Cobertura técnica limitada en la landing","https://www.movipack.es/transporte-de-cargas-especiales/","Dato comprobado en página","2026-08-31"
"gestionygestion.com","España","España","Permisos y coches piloto","Páginas técnicas específicas","Servicios técnicos","Sin dato verificado","Sin dato verificado","Especialista técnico","Media","Transportes especiales","Transporte","ES","Contacto","Sin dato verificado","Sin dato verificado","Sin dato verificado","Sí","Sí","España","Menor amplitud de cargas/sectores","https://www.gestionygestion.com/es/","Página revisada","2026-08-31"
"cochespilotocasi.com","España","España","Coches piloto","Landing principal","Servicio único","Sin dato verificado","Sin dato verificado","Servicio técnico directo","Media","Transportes especiales","Transporte","ES","Contacto","Sin dato verificado","Sin dato verificado","Sin dato verificado","Sí","Sí","España","Cobertura limitada al acompañamiento","https://cochespilotocasi.com/","Página revisada","2026-08-31"
"mammoet.com","Países Bajos / global","Global","Heavy transport and lifting","Heavy transport","Servicios y sectores","Heavy Transport | Mammoet","Heavy transport","Autoridad técnica y proyectos","Alta","Cargas pesadas","Energía, industria, infraestructura","EN y otros","Contact","No observado","No observada","Organization","Sí","Sí","Global","Competidor de escala distinta; menor foco España","https://www.mammoet.com/heavy-transport/","Dato comprobado en página","2026-08-31"
"collett.co.uk","Reino Unido","Reino Unido / Europa","Heavy transport, route surveys, heavy lift","Heavy transport y route surveys","Servicios por disciplina","Heavy Transport | Collett & Sons","Heavy Transport","Ingeniería y proyecto integral","Alta","Transformadores, cargas pesadas","Energía, infraestructura","EN","Contact us","Sí","No observada","Article, Breadcrumb, Organization, WebSite, WebPage","Sí","Sí","UK / Europe","Fuerte profundidad; contexto normativo UK","https://www.collett.co.uk/heavy-transport/","Dato comprobado en página","2026-08-31"
"wagenborg.com","Países Bajos","Europa","Heavy transport and project logistics","Servicios por especialidad","Servicios y mercados","Sin dato verificado","Sin dato verificado","Proyecto integral","Alta","Transformadores y heavy cargo","Energía, industria","EN, NL","Contact","Sí","No observada","Sin dato verificado","Sí","Sí","Europa","Marca amplia; intención específica dispersa","https://www.wagenborg.com/","Página revisada","2026-08-31"
"protrafo.com","Europa; país no verificado","Europa","Transformer transport and logistics","Landing específica de transformer logistics","Servicios técnicos","Transport and Logistics — Protrafo","Safe, Coordinated Transformer Transport Across Europe","Especialización en transformadores","Alta","Transformadores","Energía","EN","Request service","No observado","Sí","ProfessionalService, Organization, Breadcrumb, Service, FAQPage","Sí","Sí","Europa","Especialista vertical; menor amplitud de servicios","https://protrafo.com/service/transport-logistics/","Dato comprobado en página","2026-08-31"
"lkw-walter.com","Austria / Europa","Europa","Abnormal load transports","Landing específica","Productos y servicios","Abnormal load transports throughout Europe","Your Europe-wide abnormal load transports in safe hands","Red europea y cotización","Media-alta","Cargas sobredimensionadas","Industria","Multilingüe","Request quote","Sin dato verificado","Sin dato verificado","Sin dato verificado","Sí","Sí","Europa","Cobertura amplia, menor detalle por carga","https://www.lkw-walter.com/int/en/products-and-services/special-transports","Dato comprobado en página","2026-08-31"
"eaf.uk.com","Reino Unido","Reino Unido / Europa","Route surveys and feasibility","Landing route surveys","Servicios","Route Access Surveys for Abnormal Loads","Route Surveys","Consulta técnica","Alta","Abnormal loads","Industria","EN","Get in touch","Sin dato verificado","No observada","Sin dato verificado","Sí","Sí","UK / Europe","Especialización técnica; no es oferta integral generalista","https://www.eaf.uk.com/services/route-surveys/","Dato comprobado en página","2026-08-31"

